id,lat,lon
100997,22.7165525,37.6839478
100998,22.7187787,37.6839181
101000,22.7191179,37.6839261
101721,22.7206118,37.6927890
101722,22.7202540,37.6915671
101723,22.7199667,37.6899087
101724,22.7197146,37.6882833
101725,22.7194865,37.6868220
101726,22.7192333,37.6848316
101727,22.7191491,37.6811790
101734,22.7158805,37.6839827
101735,22.7114092,37.6844920
101736,22.7192263,37.6798214
101740,22.7196720,37.6732570
101742,22.7202773,37.6707657
101743,22.7214432,37.6694708
101744,22.7228371,37.6676444
101745,22.7234166,37.6667356
101746,22.7243512,37.6642407
101747,22.7252037,37.6614752
101748,22.7263541,37.6578949
101749,22.7274052,37.6546273
101750,22.7282183,37.6520702
101751,22.7295874,37.6476849
101752,22.7295081,37.6473477
101753,22.7290889,37.6461878
101758,22.7293880,37.6420026
26862505,22.5148850,37.6197802
26862833,22.1080583,37.2736165
26863546,21.9725313,37.4563114
26863669,22.6127680,37.2781460
26864360,22.2798987,37.6437550
26864977,22.2500080,37.3483365
73074499,21.5917199,37.5143615
73074695,21.5995927,37.5057068
73075565,21.5929179,37.5130508
73075621,21.5844780,37.5220333
73076803,21.5885110,37.5177188
73076946,21.5940995,37.5117512
73077783,21.5875676,37.5187569
73078039,21.5907237,37.5153921
73078250,21.5944224,37.5114740
73137953,21.6554555,37.2527293
73138181,21.6677862,37.2563482
73138197,21.6628632,37.4152916
73138250,21.6982924,37.3099785
73138283,21.6303813,37.2318840
73138287,21.6305408,37.4670649
73138353,21.5892964,37.2077090
73138436,21.5963459,37.2147588
73138478,21.6047920,37.4999509
73138540,21.6837969,37.2820175
73138636,21.6100481,37.2226332
73138743,21.6147652,37.2264368
73138772,21.5941381,37.2115534
73138897,21.6888728,37.2915908
73138904,21.6195260,37.4820878
73139078,21.6796209,37.3807734
73139201,21.5888422,37.2075562
73139210,21.6603240,37.2541056
73139294,21.5928971,37.2110157
73139344,21.6631082,37.4145016
73139475,21.6311930,37.4663845
73139564,21.6986093,37.3107393
73139585,21.6292025,37.2317330
73139800,21.5958485,37.2140025
73139852,21.6067838,37.4978191
73139914,21.6083107,37.2219919
73139995,21.6835893,37.2827032
73140015,21.6133309,37.2254579
73140061,21.6669923,37.2569075
73140268,21.6447573,37.2435743
73140379,21.6205929,37.4806367
73140406,21.6751949,37.3897898
73140433,21.6320294,37.2329232
73141321,21.6638135,37.4134880
73141413,21.6472527,37.2465208
73141493,21.6624100,37.2562817
73141581,21.6167588,37.2271331
73141635,21.5905515,37.2086184
73141696,21.6483380,37.4401478
73141721,21.6988025,37.3131295
73141867,21.6076856,37.4965504
73141885,21.6753758,37.2650626
73141899,21.6015121,37.2175573
73141917,21.6022421,37.2180050
73142001,21.6844484,37.2832500
73142074,21.6107064,37.2231145
73142093,21.5937508,37.2122851
73142140,21.6945788,37.2974385
73142280,21.6209111,37.4801346
73142314,21.6465310,37.2460777
73142437,21.6945854,37.3411142
73142442,21.6739324,37.3926227
73144268,21.6494637,37.2502511
73144338,21.6948782,37.3035041
73144350,21.6626373,37.2585511
73144384,21.6318079,37.2325432
73144527,21.6501053,37.4378360
73144545,21.5902455,37.2084053
73144581,21.6104009,37.2230394
73144620,21.6012196,37.2172992
73144654,21.6755744,37.2650601
73144705,21.6844158,37.2851563
73144721,21.6160077,37.2265148
73144742,21.6089081,37.4950259
73144879,21.5943126,37.2116117
73144887,21.6217279,37.4792319
73144944,21.6662132,37.2564054
73145102,21.6512216,37.2516263
73145128,21.6745718,37.3921055
73145210,21.6387695,37.2379257
73145337,21.5854246,37.2032523
73145418,21.6172683,37.2278117
73145429,21.6935848,37.3441805
73145476,21.6508077,37.4364235
73145496,21.6632796,37.2587485
73145589,21.6787991,37.2735718
73145625,21.6034802,37.2188291
73145753,21.6857290,37.2864418
73145810,21.5939766,37.2121692
73145840,21.6951243,37.3045237
73145889,21.6101984,37.4936690
73145987,21.6221008,37.4786780
73146085,21.5911978,37.2091289
73146255,21.6125180,37.2241776
73146272,21.6745648,37.3913347
73146292,21.6380062,37.2372215
73146322,21.6522364,37.2510274
73146423,21.6904908,37.3550350
73146537,21.6169767,37.2275130
73146550,21.6961034,37.3070222
73146569,21.6631676,37.2558716
73146673,21.6520744,37.4345172
73146864,21.6806442,37.2798762
73146880,21.6799018,37.2737328
73146899,21.6027397,37.2183366
73146939,21.5908522,37.2090771
73147013,21.6138667,37.4890326
73147078,21.5938767,37.2122462
73147107,21.6226414,37.4779339
73147238,21.6868126,37.2867915
73147244,21.6112416,37.2237480
73147340,21.6676850,37.2565854
73147428,21.6273533,37.2311642
73147474,21.6587419,37.4227645
