id,lat,lon
164574780,41.5163899,26.5291294
283711169,41.5031784,26.5323722
299263482,41.5036382,26.528601
299266545,41.4950707,26.5030085
301031648,41.4963329,26.4929584
301031649,41.4974901,26.4891819
301031652,41.4982615,26.4871219
301031655,41.502247,26.4775089
301031656,41.5045611,26.4720157
301031658,41.5057181,26.4696125
301031659,41.5090327,26.4662802
301031661,41.5113046,26.4650096
301031719,41.4952319,26.5080253
301031720,41.4968836,26.5106977
301031721,41.4977595,26.5128091
301031722,41.499876,26.5173195
301031725,41.5033936,26.5253837
301031825,41.4915755,26.5044597
301032661,41.5622578,26.4612011
301032662,41.5616156,26.4601711
301032663,41.560588,26.4586262
301032664,41.5590466,26.4579395
301057823,41.4888956,26.5337237
301057999,41.488745,26.5310695
301058001,41.4908024,26.5245464
301058003,41.4918311,26.5238597
301058005,41.494017,26.5226581
301058007,41.4963314,26.5207698
301058009,41.501414,26.5204845
301058011,41.504431,26.5205982
301058013,41.5057166,26.5231731
301058015,41.5097017,26.5228298
301058017,41.5127867,26.5233448
301058018,41.5153575,26.5240314
301058019,41.5195594,26.5234513
301058020,41.5223078,26.5254188
301058021,41.521784,26.5351894
301058022,41.5189564,26.5353611
301058023,41.5158717,26.5353611
301058024,41.5138151,26.536906
301058025,41.5120155,26.5360477
301058026,41.5089304,26.5362194
301058027,41.5053391,26.5366475
301058028,41.5031454,26.537936
301058030,41.4959456,26.5372493
301058031,41.494917,26.5348461
301058032,41.4928598,26.5351894
301058033,41.4902881,26.5357044
301058757,41.5113153,26.4815999
301058758,41.5296235,26.4905574
301058927,41.5111193,26.506694
301058931,41.5334628,26.4781941
301058932,41.5339768,26.4776792
301058933,41.5388698,26.4769278
301058942,41.539759,26.461028
301073181,41.4618088,26.5659493
301073183,41.4635367,26.5648868
301073184,41.4645658,26.5645435
301073185,41.4655949,26.5636852
301073186,41.4659808,26.5624836
301073187,41.4671385,26.5612819
301073188,41.4682961,26.5605953
301073189,41.4690679,26.5599086
301073191,41.4699683,26.5593936
301073192,41.4707401,26.5585353
301073193,41.4707401,26.557677
301073194,41.4712546,26.5566471
301073196,41.4717691,26.5559604
301073197,41.4729722,26.5552002
301073198,41.4737159,26.5545369
301073199,41.4745987,26.5532138
301073200,41.4753704,26.5514972
301073201,41.4758849,26.5508106
301073202,41.4763993,26.5496089
301073203,41.4770424,26.548579
301073204,41.4781999,26.547549
301073205,41.4789715,26.5466907
301073206,41.4797432,26.5456607
301073207,41.4800004,26.5441158
301073208,41.4800004,26.5430858
301073209,41.479486,26.5422275
301073210,41.4792288,26.5403392
301073212,41.479486,26.5389659
301073214,41.4796146,26.5377643
301073215,41.4796146,26.5345027
301073216,41.479486,26.5327861
301073217,41.4798718,26.5312412
301073218,41.4855927,26.5183879
301073219,41.4863779,26.5164145
301073220,41.4864109,26.5148632
301073222,41.4861561,26.510089
301073223,41.4862222,26.5087764
301073224,41.4868162,26.5075519
301073225,41.4874727,26.5066905
301073226,41.4879882,26.5059629
301073227,41.4884843,26.5048053
301073228,41.4883705,26.5017777
301073229,41.4880348,26.4965687
301073231,41.4890329,26.4946544
301073233,41.4908172,26.4924016
301073234,41.4988745,26.4787671
301073235,41.5025026,26.471503
301073236,41.5037882,26.4685848
301073237,41.505116,26.4655583
301073238,41.5062911,26.4632805
301073239,41.5069727,26.4611065
301073240,41.5081591,26.4601734
301073241,41.5095731,26.4601734
301073243,41.510473,26.4601734
301074009,41.4825725,26.5442874
301074011,41.4861732,26.5449741
301074012,41.4882831,26.5452978
301074013,41.4899307,26.5460868
301074014,41.4926026,26.5484073
301074015,41.500317,26.5545871
301074016,41.5019884,26.5564754
301074017,41.5031454,26.5564754
301074018,41.5045596,26.5564754
301074020,41.5064879,26.5559604
301074021,41.5076449,26.5556171
301074022,41.5088018,26.5551021
301074023,41.5101187,26.5535888
301074024,41.5112442,26.5513256
301074025,41.5131724,26.5477207
301074027,41.5148434,26.5449741
301074028,41.5157431,26.5439441
301074029,41.5173531,26.5434036
301074031,41.5199847,26.5432575
301074032,41.5222981,26.5432575
301074033,41.5231978,26.5432575
301074034,41.5246115,26.5439441
301074035,41.5258223,26.5456661
301074036,41.5275673,26.5468624
301074037,41.5288117,26.5477667
301074039,41.530009,26.5482357
301074040,41.5317108,26.5487685
301074041,41.5336672,26.5494477
301074042,41.5350052,26.5493608
301074043,41.5357649,26.5486022
301074044,41.5363817,26.5472837
301074045,41.5362123,26.5431155
301074047,41.535463,26.5409612
301074048,41.5354654,26.5400771
301074049,41.5358693,26.5379002
301074050,41.5369166,26.5361396
301074051,41.5380208,26.5350431
301074052,41.5395137,26.5336924
301074053,41.5406556,26.5332482
301074054,41.541506,26.533319
301074056,41.5431121,26.5348575
301074057,41.5441744,26.537087
301074058,41.5451693,26.5390278
301074059,41.5461297,26.5402134
301074060,41.5469865,26.5407903
301074062,41.5486708,26.5407943
301074063,41.5496406,26.5402485
301074064,41.5504289,26.539873
301074065,41.5521346,26.5400852
301074066,41.552739,26.5404497
301074067,41.5543307,26.541275
301074068,41.5561068,26.5433942
301074070,41.5562343,26.5441071
301074071,41.5573149,26.5481589
301074072,41.5576981,26.548996
301074073,41.5586935,26.5503636
301074074,41.5597978,26.5513062
301074075,41.5611605,26.5516294
301074077,41.5615194,26.5515229
301074084,41.4936312,26.5748432
301074085,41.4963314,26.5753582
301074327,41.4982599,26.5757015
301074328,41.5004456,26.5758731
301074329,41.5018598,26.5767314
301074330,41.5031454,26.5774181
301074331,41.5045596,26.5779331
301074332,41.5059737,26.5781047
301074333,41.5071166,26.5786142
301074334,41.5089445,26.5791669
301074335,41.5110516,26.5792434
301074336,41.5120809,26.5791241
301074337,41.5131894,26.5789765
301074338,41.5148434,26.5787914
301074339,41.5158717,26.5782764
301074340,41.5172855,26.5769031
301074341,41.5183138,26.5758731
301074342,41.5194706,26.5750148
301074343,41.5212699,26.5751865
301074344,41.5239689,26.5751865
301074345,41.5252541,26.5758731
301074346,41.5270533,26.5760448
301074347,41.5278243,26.5760448
301074349,41.5287239,26.5762165
301074350,41.530266,26.5753582
301074351,41.5324506,26.5744998
301074352,41.5334786,26.5744998
301074353,41.5347636,26.5732982
301074354,41.5355346,26.5732982
301074355,41.5370307,26.5730566
301074356,41.5376527,26.5730264
301074357,41.5393714,26.572598
301074358,41.5415735,26.5720321
301074586,41.5157431,26.5882328
301074587,41.5148434,26.5880611
301074588,41.5130164,26.5869076
